GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LogicalExpression.LogicalExpressionLeftAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScatterViewProperties,1228,0,76,0,255,0,140,0,102,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRPs,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScraperTargetResponseLinks,178,0,18,0,29,0,19,0,10,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,VariableProperties,48,0,8,0,14,0,9,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DictItem.DictItemValAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckStatusLevel.Adapter,7,9,0,0,2,3,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScatterViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYViewProperties.HoverDimensionEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ConstantVariableProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPlugins,175,0,16,0,40,0,23,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafLinks,153,0,16,0,26,0,17,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Bucket.TypeEnum,58,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffNotificationEndpoints,266,0,20,0,59,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,WritePrecision,29,43,4,0,5,9,4,3,2,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Routes,674,0,44,0,143,0,81,0,59,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScatterViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BucketRetentionRules.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Node,48,0,8,0,14,0,9,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationRuleBase,830,0,58,0,162,0,92,0,63,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,AuthorizationUpdateRequest,115,9,12,0,26,3,15,2,9,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HTTPNotificationEndpoint.AuthMethodEnum.Adapter,16,0,0,0,5,0,3,0,3,0
